AddressID,CustomerID,AddressLine1,AddressLine2,City,State,ZipCode,CreatedDate,UpdatedDate
d06fde5d-43bd-4b5c-b565-002b38303f32,1dc447c9-06e9-4741-82ba-917dd1dd8b52,"982 Fifth Ave",,"Portland","OR","85101",2017-01-01 00:00:00.0000000,2017-09-12 00:00:00.0000000
778daea8-e9e3-4d36-bea5-0071afa39efa,e03ed1c7-4d61-4827-9a3a-451ad032c6a8,"817 Cherry St",,"Austin","TX","75101",2017-01-01 00:00:00.0000000,2017-04-07 00:00:00.0000000
0ec3dc5b-d562-469f-959e-009560f0a197,16843ab0-5d12-49d4-b2a6-d9602d5bf750,"924 Pine St",,"San Diego","CA","98101",2017-07-16 00:00:00.0000000,2017-11-15 00:00:00.0000000
5d13fb39-67cf-4cd6-8502-00a56d3037c7,b2f5eacf-7f6c-4009-9198-34ade9f7338e,"926 Eighth Ave",,"New York","NY","12345",2017-01-01 00:00:00.0000000,2017-01-22 00:00:00.0000000
7e1dab8e-15f0-43d1-b099-00c4c5275272,75f6b4da-e62e-4735-97cb-00b5278b8275,"445 Tenth Ave",,"New York","NY","12345",2017-01-01 00:00:00.0000000,2017-06-03 00:00:00.0000000
df5a8273-2500-48aa-a3e7-010e0054aa68,9a64f899-41a4-46b1-8320-f3193cae7e33,"828 First Ave",,"Washington","DC","21001",2017-10-22 00:00:00.0000000,2017-12-26 00:00:00.0000000
e6b830be-4286-4d0a-8d90-011054ee7559,2a3b101e-4c54-47a7-b62a-3a989a869e67,"921 Ninth Ave",,"Seattle","WA","92101",2017-01-01 00:00:00.0000000,2017-08-13 00:00:00.0000000
f99541ee-0f3b-44a8-955e-014cacd525a9,5f5ef893-9f73-4d67-889c-1d5adc42bad6,"777 Ninth Ave",,"Minneapolis","MN","58101",2017-01-01 00:00:00.0000000,2017-07-23 00:00:00.0000000
eb70b894-a01d-45ff-8fbd-01962bbfe8fc,20a75138-e786-4c3e-a8b7-61d5f938fee7,"93 Pine St",,"Minneapolis","MN","58101",2017-01-01 00:00:00.0000000,2017-05-03 00:00:00.0000000
4d33d894-e638-4f46-8853-01eab937c79f,5a2defe9-bb17-4c84-861b-6f69f5e479e6,"884 Tenth Ave",,"Minneapolis","MN","58101",2017-01-01 00:00:00.0000000,2017-04-03 00:00:00.0000000
6eb7f750-0c15-4a2b-9864-01ee34f38a42,548a6159-7964-43a6-8566-3ec29a431e67,"773 Second Ave",,"Austin","TX","75101",2017-01-01 00:00:00.0000000,2017-01-04 00:00:00.0000000
dc0d6642-9853-4ce2-b65d-0259bbb9bd60,a8e763a9-529b-4847-895a-079c2d812544,"746 Pine St",,"Portland","OR","85101",2017-01-01 00:00:00.0000000,2017-09-23 00:00:00.0000000
f8a69e54-8760-4c02-8007-02fb94cf7c26,bc1f4581-a6c0-4b74-9530-3ecaefb52a1f,"714 Third Ave",,"San Diego","CA","98101",2017-01-01 00:00:00.0000000,2017-02-12 00:00:00.0000000
