CustomerID,LastName,FirstName,PhoneNumber,CreatedDate,UpdatedDate
25d52cfb-cb73-411f-b419-0015e20d6b89,"Hayley","Leigh","5555550001",2017-01-03 00:00:00.0000000,2017-02-21 00:00:00.0000000
d6e260b4-e589-4cf3-bbe7-0052a196d4a2,"Parsa","Laamers","5555550002",2017-01-14 00:00:00.0000000,2017-11-08 00:00:00.0000000
d5f1dcb8-f439-41c9-89f2-00ada922118f,"Eliana","Correla","5555550003",2017-01-03 00:00:00.0000000,2017-04-04 00:00:00.0000000
75f6b4da-e62e-4735-97cb-00b5278b8275,"Gordana","Lukic","5555550004",2017-01-03 00:00:00.0000000,2017-06-03 00:00:00.0000000
d5041806-6deb-4918-8eee-015fb75b3482,"Truman","Hofer","5555550005",2017-01-05 00:00:00.0000000,2017-01-20 00:00:00.0000000
eac60f02-55df-4626-b01c-01933fac664b,"Delia","Hoover","5555550006",2017-01-03 00:00:00.0000000,2017-01-06 00:00:00.0000000
6e0206c5-d27e-45f2-a7b9-023d117d4386,"Bratislav","Radic","5555550007",2017-01-03 00:00:00.0000000,2017-02-25 00:00:00.0000000
72dc0c9b-54fa-4ba6-a515-023eb02087fe,"Avery","Mulkey","5555550008",2017-01-03 00:00:00.0000000,2017-10-27 00:00:00.0000000
f4601742-f4e3-47ff-b72d-02b1695001c2,"Giovana","Carvalho","5555550009",2017-01-12 00:00:00.0000000,2017-11-15 00:00:00.0000000
3e053617-a51f-4628-963c-02c881386606,"Megan","Wood","5555550010",2017-01-03 00:00:00.0000000,2017-06-10 00:00:00.0000000
5ca281ec-8ced-4e61-a1c5-02db4d0dcbd5,"Katarina","Duvnjak","5555550011",2017-01-05 00:00:00.0000000,2017-10-29 00:00:00.0000000
7301944d-c4a7-492c-b0aa-031c9af713f3,"Botan","Aoki","5555550012",2017-01-03 00:00:00.0000000,2017-09-17 00:00:00.0000000
dc6c229b-9fe3-41ac-bb89-03240dc2ee83,"Gedeminas","Shukis","5555550013",2017-01-03 00:00:00.0000000,2017-08-19 00:00:00.0000000
e7037910-bf54-4b14-966d-03819db5b171,"Yu-jin","Nan","5555550014",2017-01-03 00:00:00.0000000,2017-11-21 00:00:00.0000000
35c00554-4c83-4605-829f-047baf52d769,"Margarida","Ribeiro","5555550015",2017-01-07 00:00:00.0000000,2017-12-19 00:00:00.0000000
745e0488-edb2-4972-87ec-04b4b3b64fe2,"Mantas","Pavlis","5555550016",2017-01-04 00:00:00.0000000,2017-09-30 00:00:00.0000000
2b6294c4-170b-4cee-90d9-0586d69bbd9e,"Roman","Walczak","5555550017",2017-01-03 00:00:00.0000000,2017-12-14 00:00:00.0000000
fb05d65a-7f8a-48fc-86e7-05aab8f1bbec,"Harshad","Ghosh","5555550018",2017-01-05 00:00:00.0000000,2017-10-09 00:00:00.0000000
176f4459-d043-419a-ad0e-05fce54bd37d,"Davide","Dellucci","5555550019",2017-01-03 00:00:00.0000000,2017-01-21 00:00:00.0000000
74973090-5751-4272-b507-0605a826f65b,"Paloma","Nevarez","5555550020",2017-01-10 00:00:00.0000000,2017-03-24 00:00:00.0000000
ee3b6858-e878-4f6d-90c7-06413d583274,"Shai","Lando","5555550021",2017-01-05 00:00:00.0000000,2017-12-14 00:00:00.0000000
0894661d-6dd1-4931-a68f-065faa366b39,"Shouta","Ota","5555550022",2017-01-10 00:00:00.0000000,2017-11-06 00:00:00.0000000
d4a8fc5d-09e1-49c7-a6d9-0669acb8669a,"Jun-jie","L?n","5555550023",2017-02-17 00:00:00.0000000,2017-09-25 00:00:00.0000000
330d82c2-59b7-4f96-8763-06edf1490a32,"Stefan","Fryer","5555550024",2017-01-06 00:00:00.0000000,2017-05-10 00:00:00.0000000
a35cd1e7-1372-48e0-9126-07095ccde77a,"Jerald","Strom","5555550025",2017-01-03 00:00:00.0000000,2017-08-26 00:00:00.0000000
4563c5fc-e688-4901-aedd-071225854192,"Janis","Ferrell","5555550026",2017-01-03 00:00:00.0000000,2017-05-23 00:00:00.0000000
a8e763a9-529b-4847-895a-079c2d812544,"Szervac","Kasza","5555550027",2017-01-08 00:00:00.0000000,2017-09-23 00:00:00.0000000
f8856503-092a-4e7e-acd3-08e2cb0dcde7,"Gangaaraam","Voleti","5555550028",2017-01-08 00:00:00.0000000,2017-06-07 00:00:00.0000000
7d966666-2caa-4a7a-9123-08fe17a5100a,"Abel","O'Shea","5555550029",2017-01-03 00:00:00.0000000,2017-03-29 00:00:00.0000000
4b09a19e-6c4c-4c4f-bf65-099834340487,"Nerija","Degutien?","5555550030",2017-01-03 00:00:00.0000000,2017-03-05 00:00:00.0000000
f2782d1a-c554-4e91-a7e6-0a5110d4e7bf,"Vilma","Rosberg","5555550031",2017-01-05 00:00:00.0000000,2017-11-14 00:00:00.0000000
6b565843-2c28-4305-b520-0a679bc6d15e,"Salomonas","Shaulis","5555550032",2017-01-04 00:00:00.0000000,2017-05-21 00:00:00.0000000
4e975be8-270c-4433-b934-0aa22e22786b,"Chandrakanta","Mistry","5555550033",2017-01-04 00:00:00.0000000,2017-02-07 00:00:00.0000000
043c9d26-4e87-4357-902a-0ad928d4699e,"Danh","Pham","5555550034",2017-01-04 00:00:00.0000000,2017-03-04 00:00:00.0000000
cab3fa89-ae3f-4f87-99c2-0b8f1d4d6db6,"Jaclyn","Daniels","5555550035",2017-01-03 00:00:00.0000000,2017-10-09 00:00:00.0000000
783d1ca0-7945-443d-976f-0c2de4dd331b,"Mihailo","Maric","5555550036",2017-01-04 00:00:00.0000000,2017-08-29 00:00:00.0000000
54538cac-fbb0-4b17-a6b2-0c9892a8f40e,"Lin","Tsai","5555550037",2017-01-04 00:00:00.0000000,2017-10-18 00:00:00.0000000
de5a0bc3-3824-4468-9dc8-0ca479e87efc,"Brittney","Henderson","5555550038",2017-01-04 00:00:00.0000000,2017-03-30 00:00:00.0000000
1d257bca-054f-4511-8187-0cabbec93463,"Gerardo","Lowman","5555550039",2017-01-03 00:00:00.0000000,2017-09-03 00:00:00.0000000
534620c2-c225-4920-ae8f-0d00a4087dab,"Tamara","Szabo","5555550040",2017-01-04 00:00:00.0000000,2017-03-22 00:00:00.0000000
6fe9ad8f-973f-4681-836c-0d0e92bfba70,"Zeynep","Nurpeiskyzy","5555550041",2017-01-11 00:00:00.0000000,2017-04-19 00:00:00.0000000
ccb1f852-3dea-4ada-9d20-0d2208cd3278,"Fernanda","Costa","5555550042",2017-01-03 00:00:00.0000000,2017-02-06 00:00:00.0000000
31865f37-e8f8-4289-9221-0dd7db43026f,"Agnes","Karu","5555550043",2017-01-06 00:00:00.0000000,2017-01-31 00:00:00.0000000
03d601d2-118e-4ee8-a36b-0e19e3e49292,"Adah","Leiserowitch","5555550044",2017-01-21 00:00:00.0000000,2017-06-03 00:00:00.0000000
